Quarter,us_gdp,uk_gdp
2000Q2,2.0537489106318225,0.6744897501960817
2000Q3,-1.1030625561995973,0.3054807880993974
2000Q4,0.12566134685507416,0.1763741647808612
2001Q1,-1.3407550336902165,1.3407550336902165
2001Q2,0.10043372051146988,-0.17637416478086135
2001Q3,-1.5547735945968535,0.0
2001Q4,-0.6128129910166272,-0.4958503473474533
2002Q1,0.4676987991145084,-0.5828415072712162
2002Q2,0.0752698620998299,-0.05015358346473367
2002Q3,-0.643345405392917,0.4676987991145084
2002Q4,-0.8416212335729142,0.7063025628400874
2003Q1,-0.4399131656732338,0.5533847195556727
2003Q2,0.8064212470182404,1.0803193408149558
2003Q3,1.7506860712521692,1.126391129038801
2003Q4,1.126391129038801,0.9541652531461942
2004Q1,-0.0752698620998299,-0.20189347914185088
2004Q2,0.38532046640756773,0.10043372051146988
2004Q3,0.7063025628400874,-0.2533471031357997
2004Q4,0.9944578832097531,-0.0752698620998299
2005Q1,0.9541652531461942,0.643345405392917
2005Q2,-0.15096921549677725,0.8778962950512288
2005Q3,0.33185334643681663,0.8416212335729143
2005Q4,-0.17637416478086135,1.4050715603096329
2006Q1,1.475791028179171,-0.02506890825871106
2006Q2,-0.6744897501960817,-0.3054807880993974
2006Q3,-0.8778962950512286,-0.5533847195556729
2006Q4,0.6128129910166272,0.02506890825871106
2007Q1,-0.7063025628400874,1.1749867920660901
2007Q2,-0.2533471031357997,0.4399131656732339
2007Q3,-0.27931903444745415,0.4958503473474532
2007Q4,0.20189347914185074,0.1509692154967774
2008Q1,-1.4757910281791704,-0.10043372051146975
2008Q2,-0.3054807880993974,-1.4757910281791704
2008Q3,-1.6448536269514729,-1.6448536269514729
2008Q4,-2.053748910631823,-1.880793608151251
2009Q1,-1.7506860712521697,-1.7506860712521697
2009Q2,-1.2815515655446004,-1.4050715603096329
2009Q3,-0.4958503473474533,-0.915365087842814
2009Q4,0.8778962950512288,-0.5244005127080409
2010Q1,-0.22754497664114948,1.2265281200366105
2010Q2,0.8416212335729143,1.5547735945968535
2010Q3,0.2533471031357997,0.12566134685507416
2010Q4,-0.33185334643681663,-0.9541652531461942
2011Q1,-1.2265281200366098,-0.6128129910166272
2011Q2,0.1763741647808612,-0.8778962950512286
2011Q3,-1.1030625561995973,-0.46769879911450823
2011Q4,1.1749867920660901,-0.7388468491852137
2012Q1,0.4399131656732339,1.0364333894937894
2012Q2,-0.5533847195556729,-1.2265281200366098
2012Q3,-0.915365087842814,1.475791028179171
2012Q4,-0.9541652531461942,-1.1749867920660901
2013Q1,1.0803193408149558,-0.3584587932511938
2013Q2,-0.7388468491852137,0.3584587932511938
2013Q3,0.4124631294414049,0.8064212470182404
2013Q4,0.7721932141886848,0.33185334643681663
2014Q1,-1.4050715603096329,0.7721932141886848
2014Q2,1.4050715603096329,1.2815515655446004
2014Q3,1.3407550336902165,0.7388468491852137
2014Q4,-0.3584587932511938,0.38532046640756773
2015Q1,0.6744897501960817,-0.643345405392917
2015Q2,0.0,0.22754497664114934
2015Q3,-0.5828415072712162,-0.22754497664114948
2015Q4,-0.7721932141886848,0.05015358346473367
2016Q1,-0.05015358346473367,-0.27931903444745415
2016Q2,-0.8064212470182404,0.0752698620998299
2016Q3,0.3584587932511938,-0.15096921549677725
2016Q4,-0.38532046640756773,0.20189347914185074
2017Q1,-0.41246312944140473,0.9153650878428138
2017Q2,-0.10043372051146975,0.2533471031357997
2017Q3,0.5533847195556727,0.27931903444745415
2017Q4,1.0364333894937894,0.6128129910166272
2018Q1,0.5244005127080407,-0.9944578832097531
2018Q2,-0.46769879911450823,-0.6744897501960817
2018Q3,0.22754497664114934,-0.4399131656732338
2018Q4,-0.9944578832097531,-0.7063025628400874
2019Q1,-0.20189347914185088,0.5828415072712162
2019Q2,0.7388468491852137,-0.41246312944140473
2019Q3,1.2265281200366105,0.4124631294414049
2019Q4,0.1509692154967774,-1.0803193408149558
2020Q1,-1.880793608151251,-2.053748910631823
2020Q2,-2.3263478740408408,-2.3263478740408408
2020Q3,2.3263478740408408,2.3263478740408408
2020Q4,1.2815515655446004,1.644853626951472
2021Q1,1.5547735945968535,-1.5547735945968535
2021Q2,1.644853626951472,2.0537489106318225
2021Q3,0.643345405392917,1.8807936081512506
2021Q4,1.8807936081512506,1.7506860712521692
2022Q1,-1.1749867920660901,0.5244005127080407
2022Q2,-1.0364333894937894,-0.33185334643681663
2022Q3,0.05015358346473367,-0.8064212470182404
2022Q4,0.5828415072712162,-0.38532046640756773
2023Q1,0.02506890825871106,-0.7721932141886848
2023Q2,-0.02506890825871106,-1.0364333894937894
2023Q3,0.9153650878428138,-1.2815515655446004
2023Q4,0.4958503473474532,-1.3407550336902165
2024Q1,-0.5244005127080409,0.9944578832097531
2024Q2,0.3054807880993974,-0.12566134685507402
2024Q3,0.27931903444745415,-1.126391129038801
2024Q4,-0.12566134685507402,-0.8416212335729142
