loan_id,ead,lgd,credit_rating,rsq,sector,region
1,187300.49801396445,0.2947246865592748,BBB,0.2,FI,UK
2,80328.0953173108,0.3099127319833456,CCC,0.2,Corporate,UK
3,305375.8570285834,0.4929542931991873,BB,0.2,CRE,UK
4,331419.78665777884,0.40227362700006414,BBB,0.2,Corporate,UK
5,8213.215999838252,0.3348920568125201,A,0.2,Corporate,UK
6,5094825.947635876,0.44245350219070695,A,0.2,Corporate,UK
7,45097.531622796916,0.5241833413254137,AA,0.2,CRE,UK
8,333332.23528864555,0.4597471381603849,B,0.2,Corporate,UK
9,103506.12803837123,0.41723117859618525,BBB,0.2,Corporate,UK
10,226495.58772263135,0.4292210004023814,BB,0.2,Corporate,UK
11,87164.10926995166,0.24047413105326906,AAA,0.2,FI,US
12,710400.7693588369,0.4358287238366945,CCC,0.2,Corporate,UK
13,38789.20930245654,0.3680632391085949,BB,0.2,Corporate,US
14,457590.92969704384,0.3637209885408257,A,0.2,Corporate,UK
15,24018.77402653871,0.5430765074388495,A,0.2,CRE,US
16,179292.12487578372,0.47808520986692793,A,0.2,Corporate,UK
17,40666.9817340384,0.449026986684487,A,0.2,Corporate,UK
18,332098.723747892,0.39668382980852795,BBB,0.2,Corporate,UK
19,229143.82021417952,0.44921768935574546,BBB,0.2,Corporate,UK
20,275149.3917255454,0.4143921593163628,A,0.2,Corporate,US
21,124282.42979578185,0.32564533633737297,BBB,0.2,Corporate,UK
22,124883.86400257457,0.3437956342102484,AA,0.2,Corporate,US
23,142152.12773708548,0.46369670200142715,A,0.2,Corporate,UK
24,50311.86406135014,0.42358672630607724,BBB,0.2,Corporate,UK
25,2139124.2958877753,0.5758844509466406,BBB,0.2,CRE,US
26,73375.54132285494,0.32881480110877936,BB,0.2,Corporate,UK
27,109074.95619740202,0.3867610759224812,A,0.2,Corporate,US
28,224311.21383912052,0.35742199842354544,BBB,0.2,Corporate,UK
29,103987.78512963842,0.5405953465453237,BBB,0.2,CRE,UK
30,216547.19695826148,0.4105838820227309,AAA,0.2,Corporate,US
31,25557.610864760165,0.4759555346332049,BBB,0.2,Corporate,UK
32,156946.00635807862,0.5802805590323693,A,0.2,CRE,UK
33,63584.57368457,0.3845067157525526,AA,0.2,FI,UK
34,243294.27910168198,0.31912710351756896,B,0.2,Corporate,UK
35,750554.4664902973,0.21351730098218868,CCC,0.2,FI,UK
36,1079578.0232665925,0.44198438908140475,BB,0.2,Corporate,US
37,103524.23852303972,0.4461750205832062,A,0.2,CRE,US
38,13256.399683583277,0.37238863233453456,AA,0.2,Corporate,UK
39,225867.8653264231,0.3865817757216014,BB,0.2,Corporate,UK
40,112132.03746157748,0.33276902717323126,BBB,0.2,Corporate,UK
41,63724.8318141914,0.47774346560459996,AA,0.2,Corporate,UK
42,210685.28311062913,0.4461158147851124,BBB,0.2,Corporate,UK
43,200790.00782242572,0.452259969322587,AAA,0.2,CRE,UK
44,332731.7011530614,0.34164587099092864,B,0.2,Corporate,UK
45,98053.59107825115,0.32464894277706174,A,0.2,Corporate,US
46,89144.99984095071,0.40805481322103465,BB,0.2,Corporate,UK
47,86739.07870876454,0.4467543753880512,A,0.2,CRE,US
48,82633.85564599323,0.4113171789871672,BBB,0.2,Corporate,US
