Quarter,US,UK,CRE,Corporate,FI
2000Q2,2.0537489106318225,0.6744897501960817,1.8997796208075037,1.1982411776252722,1.139295603228101
2000Q3,-1.1030625561995973,0.3054807880993974,-0.5517116520795381,-1.3996091336469838,-1.2615501602199468
2000Q4,0.1256613468550741,0.1763741647808612,0.5239458667498442,-0.14642340438382173,0.4158532202997541
2001Q1,-1.3407550336902163,1.3407550336902163,0.8059116478764097,-0.24233575864714782,0.46243476708564046
2001Q2,0.1004337205114698,-0.1763741647808613,-0.1694665861945278,-0.6052659195931279,0.8627307570058804
2001Q3,-1.5547735945968535,0.0,-1.0567577889215056,-0.8914330177259601,0.24707799596776714
2001Q4,-0.6128129910166272,-0.4958503473474533,0.17044287239728861,-0.26862456838424537,-1.579520599598634
2002Q1,0.4676987991145084,-0.5828415072712162,0.33700266326853684,1.2761634872460714,-0.819407422846513
2002Q2,0.0752698620998299,-0.0501535834647336,-0.23335272723867087,0.13600329461565736,0.4347554729779425
2002Q3,-0.643345405392917,0.4676987991145084,0.18170782556272036,0.09429232463810702,0.35342010640252597
2002Q4,-0.8416212335729142,0.7063025628400874,-0.32640879610551604,-0.12030054723631266,0.3705917342808344
2003Q1,-0.4399131656732338,0.5533847195556727,-0.17835808889259586,-1.300040360942286,3.2224323981755343
2003Q2,0.8064212470182404,1.0803193408149558,1.260078752144718,0.9246221527909213,1.2254646103834257
2003Q3,1.7506860712521692,1.126391129038801,0.7138335770271123,1.4811277900270743,2.087242295973738
2003Q4,1.126391129038801,0.9541652531461942,0.3355931059409871,2.7820533925351203,1.6189125604555963
2004Q1,-0.0752698620998299,-0.2018934791418508,-0.463832598281923,-0.27460141325315873,0.42628565005074026
2004Q2,0.3853204664075677,0.1004337205114698,-0.24448734075094153,0.45610326407239743,-0.0656760044645528
2004Q3,0.7063025628400874,-0.2533471031357997,0.4380573342650719,0.20193280210658054,0.8070442364190031
2004Q4,0.9944578832097531,-0.0752698620998299,0.07103163500826248,-0.36678615486959665,-0.26961278949183815
2005Q1,0.9541652531461942,0.643345405392917,0.21118552123762224,1.6068530911078227,0.44371863747551116
2005Q2,-0.1509692154967772,0.8778962950512288,1.211704678119552,0.8951604861882098,-0.10947020308300387
2005Q3,0.3318533464368166,0.8416212335729143,0.5846151594019255,1.146081343894202,0.5369049769431626
2005Q4,-0.1763741647808613,1.4050715603096329,0.7729510045346455,-0.028685338246949077,2.4001953097386393
2006Q1,1.475791028179171,-0.025068908258711,0.11652739563004588,1.7172864298330561,-0.9594974760508321
2006Q2,-0.6744897501960817,-0.3054807880993974,-0.8760425844039708,-1.48124366186173,0.17391643499592901
2006Q3,-0.8778962950512286,-0.5533847195556729,-0.8000738913338292,-0.3006698766898498,-1.9023919820477486
2006Q4,0.6128129910166272,0.025068908258711,-0.22631941373319336,1.8678269765361277,-0.13401222643879512
2007Q1,-0.7063025628400874,1.17498679206609,0.4800112424560875,-0.4660728378985113,1.0854453581655725
2007Q2,-0.2533471031357997,0.4399131656732339,-0.20588848274329882,-0.3071499335039488,0.1276330866844363
2007Q3,-0.2793190344474541,0.4958503473474532,-0.024431036448982285,0.17872981245796704,-0.802118586212076
2007Q4,0.2018934791418507,0.1509692154967774,-0.10667559485325517,-0.17957970186858313,-0.44870947167953956
2008Q1,-1.4757910281791704,-0.1004337205114697,0.03439863780978847,-1.884597001790181,-0.07007923911832403
2008Q2,-0.3054807880993974,-1.4757910281791704,-1.075905149776365,-0.8421545637156195,-1.3147844801106967
2008Q3,-1.6448536269514729,-1.6448536269514729,-2.533512367744251,-2.3960157866068545,-1.1373865758774375
2008Q4,-2.053748910631823,-1.880793608151251,-1.9254756553485404,-1.6323908401707803,-1.5362375056177973
